x,y,z,Bx,By,Bz
-250.0,-160.0,16.0,0.0471197,0.030215,0.1547169
-250.0,-160.0,18.0,0.0522143,0.03348315,0.1514840
-250.0,-160.0,20.0,0.0570522,0.03658603,0.1479811
-250.0,-150.0,-20.0,-0.0685063,-0.041146,0.1637382
-250.0,-150.0,-18.0,-0.0628497,-0.03774892,0.1682078
-250.0,-150.0,-16.0,-0.0568400,-0.034139,0.1723450
-250.0,-150.0,-14.0,-0.0505029,-0.03033302,0.1761062
-250.0,-150.0,-12.0,-0.0438691,-0.026348,0.1794510
-250.0,-150.0,-10.0,-0.0369733,-0.02220680,0.1823437
-250.0,-150.0,-8.0,-0.0298540,-0.017930,0.1847533
-250.0,-150.0,-6.0,-0.0225527,-0.01354551,0.1866543
-250.0,-150.0,-4.0,-0.0151128,-0.009077,0.1880265
-250.0,-150.0,-2.0,-0.0075798,-0.00455258,0.1888557
-250.0,-150.0,0.0,-0.00000000,-0.000000,0.1891330
-250.0,-150.0,2.0,0.0075798,0.00455258,0.1888557
-250.0,-150.0,4.0,0.0151128,0.009077,0.1880265
-250.0,-150.0,6.0,0.0225527,0.01354551,0.1866543
-250.0,-150.0,8.0,0.0298540,0.017930,0.1847533
-250.0,-150.0,10.0,0.0369733,0.02220680,0.1823437
-250.0,-150.0,12.0,0.0438691,0.026348,0.1794510
-250.0,-150.0,14.0,0.0505029,0.03033302,0.1761062
-250.0,-150.0,16.0,0.0568400,0.034139,0.1723450
-250.0,-150.0,18.0,0.0628497,0.03774892,0.1682078
-250.0,-150.0,20.0,0.0685063,0.041146,0.1637382
-250.0,-140.0,-20.0,-0.0824975,-0.04620694,0.1808628
-250.0,-140.0,-18.0,-0.0758828,-0.042502,0.1865749
-250.0,-140.0,-16.0,-0.0687823,-0.03852548,0.1918760
-250.0,-140.0,-14.0,-0.0612320,-0.034296,0.1967040
-250.0,-140.0,-12.0,-0.0532746,-0.02983957,0.2010025
-250.0,-140.0,-10.0,-0.0449593,-0.025182,0.2047223
-250.0,-140.0,-8.0,-0.0363397,-0.02035416,0.2078217
-250.0,-140.0,-6.0,-0.0274734,-0.015388,0.2102667
-250.0,-140.0,-4.0,-0.0184202,-0.01031724,0.2120314
-250.0,-140.0,-2.0,-0.0092415,-0.005176,0.2130975
-250.0,-140.0,0.0,-0.00000000,-0.0000000,0.2134540
-250.0,-140.0,2.0,0.0092415,0.005176,0.2130975
-250.0,-140.0,4.0,0.0184202,0.01031724,0.2120314
-250.0,-140.0,6.0,0.0274734,0.015388,0.2102667
-250.0,-140.0,8.0,0.0363397,0.02035416,0.2078217
