E,t,x,y,z
455182.29498712317,7.323242815415386e-07,0.07672823958550995,0.04504727989736215,0.0004771118415983122
455182.29498712264,7.323839025039698e-07,0.07645204827607219,0.0455306753437091,0.0004850915058843229
455182.2949871223,7.324435234664009e-07,0.07617281079201114,0.046012317696517535,0.0004930629220979377
455182.29498712195,7.32503144428832e-07,0.07589053825953503,0.046492187764754715,0.0005010257745764927
455182.2949871216,7.325627653912632e-07,0.07560524192578331,0.04697026642800446,0.0005089797479985456
455182.29498712125,7.326223863536943e-07,0.07531693315837865,0.047446534637229004,0.0005169245273964395
455182.2949871208,7.326820073161253e-07,0.07502562344497386,0.04792097341552798,0.0005248597981688528
455182.2949871205,7.327416282785565e-07,0.0747313243927943,0.04839356385889458,0.0005327852460933342
455182.2949871201,7.328012492409876e-07,0.0744340477281753,0.04886428713696878,0.0005407005573388234
455182.29498711973,7.328608702034187e-07,0.07413380529609495,0.04933312449378762,0.0005486054184781551
455182.2949871192,7.329204911658499e-07,0.07383060905970214,0.049800057248532544,0.000556499516500548
455182.29498711886,7.32980112128281e-07,0.0735244710998399,0.05026506679627373,0.0005643825388240762
455182.2949871183,7.330397330907122e-07,0.07321540361456401,0.050728134608711416,0.0005722541733081244
455182.29498711793,7.330993540531433e-07,0.07290341891865701,0.05118924223491414,0.0005801141082658251
455182.2949871175,7.331589750155744e-07,0.07258852944313748,0.05164837130205392,0.0005879620324764774
455182.29498711723,7.332185959780056e-07,0.07227074773476475,0.052105503516138345,0.0005957976351979479
455182.29498711665,7.332782169404366e-07,0.07195008645553895,0.052560620662739456,0.000603620606179052
455182.29498711653,7.333378379028677e-07,0.07162655838219655,0.05301370460771953,0.000611430635671916
455182.29498711607,7.333974588652989e-07,0.0713001764057012,0.05346473729795361,0.0006192274144443189
455182.2949871156,7.3345707982773e-07,0.07097095353073014,0.053913700762048856,0.0006270106337920138
455182.2949871152,7.335167007901612e-07,0.070638902875156,0.0543605771110606,0.000634779985551028
455182.29498711484,7.335763217525923e-07,0.07030403766952416,0.054805348539205115,0.000642535162109942
455182.2949871143,7.336359427150234e-07,0.06996637125652551,0.055247997324569115,0.0006502758564221461
455182.294987114,7.336955636774546e-07,0.0696259170904649,0.05568850582981586,0.0006580017620180748
455182.2949871135,7.337551846398857e-07,0.06928268873672497,0.056126856502887935,0.000665712573017418
455182.29498711304,7.338148056023168e-07,0.0689366998712257,0.056563031877706595,0.0006734079841413086
455182.2949871128,7.33874426564748e-07,0.06858796427987948,0.056997014574867694,0.0006810876907244866
455182.2949871125,7.33934047527179e-07,0.06823649585804176,0.05742878730233418,0.0006887513887274385
455182.2949871121,7.339936684896102e-07,0.06788230860995746,0.0578583328561251,0.0006963987747485112
455182.29498711176,7.340532894520413e-07,0.06752541664820295,0.05828563412100107,0.0007040295460360017
455182.2949871112,7.341129104144724e-07,0.06716583419312373,0.05871067407114626,0.0007116434005002198
455182.2949871108,7.341725313769036e-07,0.0668035755722678,0.05913343577084675,0.0007192400367255249
455182.2949871104,7.342321523393347e-07,0.06643865521981482,0.05955390237516536,0.000726819153982336
455182.29498711013,7.342917733017658e-07,0.06607108767600094,0.059972057130612835,0.0007343804522391142
455182.2949871096,7.34351394264197e-07,0.06570088758653948,0.06038788337581536,0.0007419236321743174
455182.29498710926,7.344110152266281e-07,0.06532806970203739,0.060801364542178465,0.0007494483951883267
455182.2949871088,7.344706361890593e-07,0.06495264887740743,0.06121248415454717,0.0007569544434153444
455182.2949871085,7.345302571514903e-07,0.06457464007127635,0.061621225831862476,0.000764441479735262
455182.2949871081,7.345898781139214e-07,0.06419405834538885,0.06202757328781402,0.000771909207785499
455182.29498710774,7.346494990763526e-07,0.06381091886400744,0.06243151033148902,0.0007793573319728118
455182.2949871072,7.347091200387837e-07,0.06342523689330823,0.06283302086801743,0.0007867855574850715
455182.29498710687,7.347687410012148e-07,0.06303702780077261,0.06323208889921318,0.00079419359030301
455182.2949871064,7.34828361963646e-07,0.06264630705457498,0.0636286985242117,0.0008015811372119364
455182.2949871061,7.348879829260771e-07,0.06225309022296643,0.0640228339401034,0.0008089479058134187
455182.29498710553,7.349476038885083e-07,0.06185739297365437,0.06441447944256341,0.0008162936045369356
455182.29498710524,7.350072248509394e-07,0.0614592310731783,0.06480361942647729,0.0008236179426514938
455182.29498710483,7.350668458133704e-07,0.06105862038628156,0.0651902383865628,0.0008309206302772114
455182.29498710454,7.351264667758016e-07,0.06065557687527924,0.06557432091798769,0.0008382013783968691
455182.2949871039,7.351860877382327e-07,0.06025011659942211,0.06595585171698361,0.0008454598988674257
455182.2949871036,7.352457087006638e-07,0.05984225571425679,0.06633481558145575,0.0008526959044314991
455182.294987103,7.35305329663095e-07,0.059432010470982,0.06671119741158865,0.000859909108728812
455182.29498710274,7.353649506255261e-07,0.059019397215801045,0.06708498221044784,0.0008670992263076022
455182.29498710216,7.354245715879573e-07,0.05860443238927052,0.06745615508457736,0.000874265972635996
455182.294987102,7.354841925503884e-07,0.05818713252564518,0.06782470124459324,0.0008814090641133457
455182.2949871014,7.355438135128195e-07,0.05776751425221922,0.06819060600577272,0.0008885282180815295
455182.29498710105,7.356034344752507e-07,0.05734559428866366,0.0685538547886394,0.0008956231528362139
455182.29498710064,7.356630554376818e-07,0.05692138944636026,0.06891443311954418,0.0009026935876380783
455182.2949871001,7.357226764001128e-07,0.05649491662773157,0.0692723266312419,0.0009097392427240011
455182.29498709977,7.35782297362544e-07,0.05606619282556752,0.06962752106346386,0.0009167598393182068
455182.29498709965,7.358419183249751e-07,0.055635235122348324,0.06998000226348598,0.0009237550996433737
455182.294987099,7.359015392874063e-07,0.05520206068956383,0.07032975618669275,0.000930724746931702
455182.29498709866,7.359611602498374e-07,0.054766686787029305,0.07067676889713678,0.0009376685054359416
455182.29498709814,7.360207812122685e-07,0.054329130762197766,0.07102102656809416,0.0009445861004403792
455182.29498709796,7.360804021746997e-07,0.05388941004946872,0.0713625154826153,0.0009514772582717842
455182.29498709744,7.361400231371308e-07,0.053447542169493524,0.07170122203407152,0.0009583417063103137
455182.2949870971,7.361996440995619e-07,0.05300354472847726,0.07203713272669723,0.0009651791730003743
455182.2949870965,7.362592650619931e-07,0.05255743541747722,0.07237023417612765,0.0009719893878614428
455182.2949870961,7.363188860244241e-07,0.05210923201169802,0.07270051310993204,0.000978772081498843
455182.29498709575,7.363785069868553e-07,0.05165895236978334,0.07302795636814266,0.0009855269856144802
455182.29498709546,7.364381279492864e-07,0.05120661443310432,0.07335255090377905,0.0009922538330175313
455182.2949870949,7.364977489117175e-07,0.05075223622504474,0.0736742837833679,0.0009989523576350906
455182.29498709453,7.365573698741487e-07,0.05029583585028284,0.0739931421874584,0.0010056222945227721
455182.2949870941,7.366169908365798e-07,0.04983743149406996,0.07430911341113297,0.001012263379875266
455182.29498709354,7.366766117990109e-07,0.04937704142150594,0.07462218486451361,0.00101887535103685
455182.29498709325,7.367362327614421e-07,0.048914683976811334,0.07493234407326342,0.0010254579465118544
455182.29498709284,7.367958537238732e-07,0.04845037758259653,0.0752395786790837,0.0010320109059750817
455182.29498709255,7.368554746863044e-07,0.04798414073912766,0.07554387644020633,0.0010385339702821796
455182.29498709197,7.369150956487354e-07,0.04751599202358948,0.07584522523188159,0.001045026881479966
455182.2949870916,7.369747166111665e-07,0.04704595008934514,0.07614361304686124,0.0010514893828167072
455182.2949870912,7.370343375735977e-07,0.04657403366519298,0.07643902799587694,0.0010579212187523488
455182.29498709075,7.370939585360288e-07,0.04610026155462025,0.07673145830811401,0.0010643221349686967
455182.29498709034,7.371535794984599e-07,0.0456246526350539,0.07702089233168039,0.0010706918783795513
455182.29498709,7.372132004608911e-07,0.045147225857108404,0.07730731853407094,0.001077030197140791
455182.29498708964,7.372728214233222e-07,0.04466800024383068,0.07759072550262697,0.001083336840660407
455182.29498708923,7.373324423857533e-07,0.04418699488994211,0.07787110194499093,0.0010896115596084888
455182.29498708865,7.373920633481845e-07,0.043704228961077736,0.07814843668955639,0.001095854105927158
455182.29498708836,7.374516843106156e-07,0.04321972169302257,0.07842271868591315,0.0011020642328404523
455182.29498708795,7.375113052730467e-07,0.04273349239094517,0.07869393700528755,0.0011082416948641584
455182.29498708766,7.375709262354778e-07,0.04224556042862842,0.07896208084097796,0.0011143862478155938
455182.294987087,7.376305471979089e-07,0.04175594524769758,0.07922713950878528,0.0011204976488233347
455182.2949870867,7.376901681603401e-07,0.04126466635684565,0.07948910244743876,0.001126575656336895
455182.29498708615,7.377497891227712e-07,0.04077174333105602,0.07974795921901676,0.0011326200301363502
455182.29498708586,7.378094100852023e-07,0.04027719581082254,0.08000369950936262,0.001138630531341908
455182.29498708545,7.378690310476335e-07,0.03978104350136693,0.0802563131284957,0.0011446069224234278
455182.2949870853,7.379286520100646e-07,0.039283306171853605,0.08050579001101732,0.0011505489672098846
455182.29498708475,7.379882729724958e-07,0.03878400365460201,0.08075212021651189,0.0011564564308987788
455182.29498708434,7.380478939349269e-07,0.03828315584429639,0.08099529392994292,0.0011623290800654926
455182.29498708394,7.381075148973579e-07,0.03778078269719307,0.08123530146204415,0.0011681666826725901
455182.29498708365,7.381671358597891e-07,0.037276904230325335,0.08147213324970558,0.0011739690080790636
455182.29498708324,7.382267568222202e-07,0.03677154052070582,0.08170577985635454,0.0011797358270495227
455182.2949870828,7.382863777846513e-07,0.036264711704526546,0.08193623197233166,0.0011854669117633285
455182.29498708236,7.383459987470825e-07,0.03575643797635663,0.08216348041526185,0.001191162035823671
455182.29498708196,7.384056197095136e-07,0.03524673958833758,0.08238751613042014,0.0011968209742665903
455182.29498708143,7.384652406719448e-07,0.03473563684937639,0.0826083301910925,0.0012024435035699395
455182.29498708126,7.385248616343759e-07,0.03422315012433632,0.08282591379893145,0.0012080294016622918
455182.2949870807,7.38584482596807e-07,0.033709299833225466,0.08304025828430674,0.0012135784479317881
455182.2949870804,7.386441035592382e-07,0.03319410645038311,0.08325135510665067,0.001219090423234928
455182.29498708,7.387037245216692e-07,0.03267759050366392,0.08345919585479851,0.0012245651099053005
455182.29498707975,7.387633454841003e-07,0.032159772573620064,0.08366377224732353,0.0012300022917622585
455182.2949870792,7.388229664465315e-07,0.03164067329268111,0.08386507613286706,0.001235401754119531
455182.2949870789,7.388825874089626e-07,0.031120313344331987,0.08406309949046323,0.0012407632837937782
455182.29498707835,7.389422083713938e-07,0.030598713462288825,0.08425783442985857,0.001246086669113085
455182.2949870782,7.390018293338249e-07,0.03007589442967282,0.08444927319182642,0.0012513716999253959
455182.29498707765,7.39061450296256e-07,0.029551877078182145,0.08463740814847609,0.001256618167606888
